No.,Symbol,Security Name,Sector,Coupon,Maturity,Years,Face Value (Rs),Price (Rs),Price Quality,YTM,Benchmark,Spread (bp),Fair Value (Rs),Variance (Rs),Variance (%),Valuation,Macaulay,Modified,Today
1,SBLD83,10.25% SBL Debenture 2083,Commercial Banks,10.25%,21-Sep-2026,0.05,"2,500,000,000","1,015.00",Adequate,7.087%,4.074%,301,"1,016.59",1.59,0.16%,Undervalued,0.05,0.05,2026-09-07
2,SRBLD83,10.25% Sunrise Bank Debenture 2083,Commercial Banks,10.25%,12-Dec-2026,0.28,"3,000,000,000","1,025.00",Adequate,6.006%,4.074%,193,"1,030.28",5.28,0.52%,Undervalued,0.28,0.26,2026-09-08
3,ADBLD83,10.35% Agricultural Bank Debenture 2083,Commercial Banks,10.35%,09-Feb-2027,0.44,"2,500,000,000","1,039.90",Adequate,4.274%,4.074%,20,"1,040.77",0.87,0.08%,Fairly valued,0.44,0.42,2026-09-09
6,NBLD82,10% Nabil Debenture 2082,Commercial Banks,10.00%,02-May-2027,0.67,"2,000,000,000","1,051.10",Adequate,4.187%,4.074%,11,"1,051.84",0.74,0.07%,Fairly valued,0.65,0.63,2026-09-10
7,RBBD83,8.5% RBBL Debenture 2083,Commercial Banks,8.50%,16-Jun-2027,0.79,"2,500,000,000","1,010.30",Adequate,8.779%,4.074%,470,"1,045.38",35.08,3.47%,Undervalued,0.77,0.71,2026-09-11
8,PBD84,10.15% Prime Debenture 2084,Commercial Banks,10.15%,06-Jul-2027,0.84,"5,000,000,000","1,070.00",Adequate,3.291%,4.074%,(78),"1,063.38",(6.62),(0.62%),Overvalued,0.82,0.80,2026-09-12
9,SBID83,10.25% Nepal SBI Bank Debenture 2083,Commercial Banks,10.25%,28-Jul-2027,0.90,"2,401,482,000","1,060.00",Adequate,4.946%,4.074%,87,"1,067.79",7.79,0.73%,Undervalued,0.88,0.84,2026-09-13
10,PBLD84,10% Prabhu Bank Debenture 2084 ,Commercial Banks,10.00%,13-Aug-2027,0.95,"2,000,000,000","1,065.10",Adequate,4.361%,4.074%,29,"1,067.80",2.70,0.25%,Undervalued,0.92,0.88,2026-09-14
11,SBLD84,8.5% SBL Debenture 2084,Commercial Banks,8.50%,13-Oct-2027,1.12,"3,000,000,000","1,025.00",Adequate,7.298%,4.074%,322,"1,059.20",34.20,3.34%,Undervalued,1.08,1.00,2026-09-15
12,ADBLB,4% Agricultural Bond,Commercial Banks,4.00%,09-Feb-2028,1.44,"6,000,000","1,000.00",Stale - 60 days,4.423%,4.074%,35,"1,004.72",4.72,0.47%,Undervalued,1.41,1.35,2026-09-16
13,NIBD84,8.5% Nepal Investment Bank Debenture 2084,Commercial Banks,8.50%,20-Feb-2028,1.47,"4,000,000,000","1,017.20",Adequate,8.208%,4.074%,413,"1,074.23",57.03,5.61%,Undervalued,1.40,1.29,2026-09-17
14,GBILD84/85,"Global IME Bank Debenture, 2084/85",Commercial Banks,11.25%,23-Feb-2028,1.48,"5,000,000,000","1,120.00",Adequate,3.891%,4.074%,(18),"1,117.26",(2.74),(0.24%),Fairly valued,1.39,1.34,2026-09-18
15,SCBD,10.30% Standard Chartered Bank Limited Debenture,Commercial Banks,10.30%,28-Feb-2028,1.49,"2,400,000,000","1,056.60",Adequate,7.325%,4.074%,325,"1,103.32",46.72,4.42%,Undervalued,1.41,1.31,2026-09-19
16,MBLD2085,10.25% Machhapuchhre Bank Debenture 2085,Commercial Banks,10.25%,21-Jul-2028,1.89,"3,000,000,000","1,188.30",Adequate,0.878%,4.074%,(320),"1,125.03",(63.27),(5.32%),Overvalued,1.76,1.74,2026-09-20
17,NMBD2085,10 % NMB DEBENTURE 2085,Commercial Banks,10.00%,31-Jul-2028,1.92,"1,684,505,000","1,136.00",Adequate,3.337%,4.074%,(74),"1,121.73",(14.27),(1.26%),Overvalued,1.78,1.72,2026-09-21
